departure_airport_name,departure_airport_id,departure_time,arrival_airport_name,arrival_airport_id,arrival_time,duration,airplane,airline,airline_logo,travel_class,flight_number,legroom,total_duration,price,type
Cairo International Airport,CAI,2024-05-25 09:25,King Abdulaziz International Airport,JED,2024-05-25 11:50,145,Airbus A320neo,Flynas,https://www.gstatic.com/flights/airline_logos/70px/XY.png,Economy,XY 566,30 in,145,104,One way
Cairo International Airport,CAI,2024-05-25 09:45,King Abdulaziz International Airport,JED,2024-05-25 12:00,135,Airbus A320,Flyadeal,https://www.gstatic.com/flights/airline_logos/70px/F3.png,Economy,F3 754,29 in,135,112,One way
Cairo International Airport,CAI,2024-05-25 18:55,King Abdulaziz International Airport,JED,2024-05-25 21:05,130,Boeing 737,FlyEgypt,https://www.gstatic.com/flights/airline_logos/70px/FT.png,Economy,FT 377,,130,123,One way
Cairo International Airport,CAI,2024-05-25 04:20,King Abdulaziz International Airport,JED,2024-05-25 06:40,140,Airbus A320,Air Cairo,https://www.gstatic.com/flights/airline_logos/70px/SM.png,Economy,SM 477,28 in,140,137,One way
Cairo International Airport,CAI,2024-05-25 08:00,King Abdulaziz International Airport,JED,2024-05-25 10:10,130,Airbus A320,Air Arabia Egypt,https://www.gstatic.com/flights/airline_logos/70px/E5.png,Economy,E5 327,30 in,130,139,One way
Cairo International Airport,CAI,2024-05-25 06:00,King Abdulaziz International Airport,JED,2024-05-25 08:15,135,Airbus A320,Nesma Airlines,https://www.gstatic.com/flights/airline_logos/70px/NE.png,Economy,NE 170,28 in,135,,One way
Cairo International Airport,CAI,2024-05-25 01:15,King Abdulaziz International Airport,JED,2024-05-25 03:40,145,Airbus A320neo,Flynas,https://www.gstatic.com/flights/airline_logos/70px/XY.png,Economy,XY 568,30 in,145,104,One way
Cairo International Airport,CAI,2024-05-25 15:35,King Abdulaziz International Airport,JED,2024-05-25 18:00,145,Airbus A320neo,Flynas,https://www.gstatic.com/flights/airline_logos/70px/XY.png,Economy,XY 584,30 in,145,104,One way
Cairo International Airport,CAI,2024-05-25 21:15,King Abdulaziz International Airport,JED,2024-05-26 00:00,165,Airbus A320,Flyadeal,https://www.gstatic.com/flights/airline_logos/70px/F3.png,Economy,F3 762,29 in,165,112,One way
Cairo International Airport,CAI,2024-05-25 18:10,King Abdulaziz International Airport,JED,2024-05-25 20:35,145,Airbus A320neo,Flynas,https://www.gstatic.com/flights/airline_logos/70px/XY.png,Economy,XY 578,30 in,145,112,One way
Cairo International Airport,CAI,2024-05-25 19:05,King Abdulaziz International Airport,JED,2024-05-25 21:30,145,Airbus A320neo,Flynas,https://www.gstatic.com/flights/airline_logos/70px/XY.png,Economy,XY 570,30 in,145,112,One way
Cairo International Airport,CAI,2024-05-25 22:00,King Abdulaziz International Airport,JED,2024-05-26 00:25,145,Airbus A320neo,Flynas,https://www.gstatic.com/flights/airline_logos/70px/XY.png,Economy,XY 572,30 in,145,128,One way
